frame,ball_x,ball_y,ball_available,ball_zone,possession_player,possession_team,possessor_x,possessor_y,possessor_team,possessor_zone,event_type,previous_possession_player,previous_possession_team,possession_change,team_change,team_a_possession,team_b_possession,pass_event,pass_from_player,pass_to_player,pass_from_team,pass_to_team,pass_confidence
42,122.3525,301.72,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
43,118.43,288.0,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
44,115.74,276.42,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
45,123.61,267.76,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
46,130.1,258.21,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
47,135.12,249.1,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
48,146.95,242.67,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
49,149.3,234.6,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
50,157.77,229.05,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
51,165.28,224.73,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
52,173.585,221.3425,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
53,181.89,217.955,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
54,190.195,214.5675,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
55,198.5,211.18,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
56,205.25666666666663,210.8,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
57,212.01333333333332,210.42,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
58,218.77,210.04,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
59,225.52666666666667,209.66,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
60,232.28333333333333,209.28,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
61,239.04,208.9,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
62,336.03,339.59,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
63,254.86,211.08,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
64,262.81,215.73,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
65,281.58,218.72,True,TOP_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
66,288.8,222.67,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
67,284.27,227.36,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
68,288.62,228.59,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
69,293.83,235.54,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
